1760510186.352255 server started (412975): version next-3.7, socket /tmp/smux-1000/default, protocol 8
1760510186.352271 on Linux 6.16.7-arch1-1 #1 SMP PREEMPT_DYNAMIC Thu, 11 Sep 2025 17:42:36 +0000
1760510186.352278 using libevent 2.1.12-stable poll
1760510186.352279 using ncurses 6.5 20240427
1760510186.352310 input_key_build: 0x10e003 (PasteStart) is \033[200~
1760510186.352311 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1760510186.352312 input_key_build: 0x10e25b (F1) is \033OP
1760510186.352313 input_key_build: 0x10e25c (F2) is \033OQ
1760510186.352314 input_key_build: 0x10e25d (F3) is \033OR
1760510186.352315 input_key_build: 0x10e25e (F4) is \033OS
1760510186.352315 input_key_build: 0x10e25f (F5) is \033[15~
1760510186.352316 input_key_build: 0x10e260 (F6) is \033[17~
1760510186.352317 input_key_build: 0x10e261 (F7) is \033[18~
1760510186.352318 input_key_build: 0x10e262 (F8) is \033[19~
1760510186.352319 input_key_build: 0x10e263 (F9) is \033[20~
1760510186.352320 input_key_build: 0x10e264 (F10) is \033[21~
1760510186.352321 input_key_build: 0x10e265 (F11) is \033[23~
1760510186.352322 input_key_build: 0x10e266 (F12) is \033[24~
1760510186.352323 input_key_build: 0x10e267 (IC) is \033[2~
1760510186.352323 input_key_build: 0x10e268 (DC) is \033[3~
1760510186.352324 input_key_build: 0x10e269 (Home) is \033[1~
1760510186.352325 input_key_build: 0x10e26a (End) is \033[4~
1760510186.352326 input_key_build: 0x10e26b (NPage) is \033[6~
1760510186.352327 input_key_build: 0x10e26c (PPage) is \033[5~
1760510186.352328 input_key_build: 0x10e26d (BTab) is \033[Z
1760510186.352329 input_key_build: 0x10e26e (Up) is \033[A
1760510186.352330 input_key_build: 0x10e26f (Down) is \033[B
1760510186.352331 input_key_build: 0x10e270 (Left) is \033[D
1760510186.352332 input_key_build: 0x10e271 (Right) is \033[C
1760510186.352333 input_key_build: 0x10e272 (KP/) is /
1760510186.352334 input_key_build: 0x10e273 (KP*) is *
1760510186.352335 input_key_build: 0x10e274 (KP-) is -
1760510186.352336 input_key_build: 0x10e275 (KP7) is 7
1760510186.352336 input_key_build: 0x10e276 (KP8) is 8
1760510186.352337 input_key_build: 0x10e277 (KP9) is 9
1760510186.352338 input_key_build: 0x10e278 (KP+) is +
1760510186.352339 input_key_build: 0x10e279 (KP4) is 4
1760510186.352340 input_key_build: 0x10e27a (KP5) is 5
1760510186.352341 input_key_build: 0x10e27b (KP6) is 6
1760510186.352342 input_key_build: 0x10e27c (KP1) is 1
1760510186.352343 input_key_build: 0x10e27d (KP2) is 2
1760510186.352344 input_key_build: 0x10e27e (KP3) is 3
1760510186.352345 input_key_build: 0x10e27f (KPEnter) is \n
1760510186.352345 input_key_build: 0x10e280 (KP0) is 0
1760510186.352346 input_key_build: 0x10e281 (KP.) is .
1760510186.352348 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1760510186.352350 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1760510186.352351 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1760510186.352352 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1760510186.352353 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1760510186.352353 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1760510186.352354 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1760510186.352355 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1760510186.352356 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1760510186.352357 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1760510186.352358 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1760510186.352359 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1760510186.352360 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1760510186.352361 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1760510186.352361 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1760510186.352362 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1760510186.352363 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1760510186.352364 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1760510186.352365 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1760510186.352366 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1760510186.352369 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1760510186.352371 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1760510186.352372 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1760510186.352373 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1760510186.352374 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1760510186.352375 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1760510186.352376 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1760510186.352377 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1760510186.352378 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1760510186.352379 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1760510186.352379 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1760510186.352380 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1760510186.352381 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1760510186.352382 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1760510186.352383 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1760510186.352384 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1760510186.352385 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1760510186.352386 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1760510186.352386 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1760510186.352387 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1760510186.352388 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1760510186.352389 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1760510186.352390 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1760510186.352391 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1760510186.352392 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1760510186.352393 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1760510186.352394 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1760510186.352395 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1760510186.352396 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1760510186.352397 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1760510186.352398 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1760510186.352399 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1760510186.352400 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1760510186.352401 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1760510186.352402 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1760510186.352402 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1760510186.352403 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1760510186.352404 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1760510186.352405 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1760510186.352406 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1760510186.352407 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1760510186.352408 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1760510186.352409 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1760510186.352410 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1760510186.352412 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1760510186.352414 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1760510186.352415 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1760510186.352416 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1760510186.352418 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1760510186.352419 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1760510186.352420 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1760510186.352424 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1760510186.352425 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1760510186.352426 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1760510186.352427 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1760510186.352428 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1760510186.352429 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1760510186.352430 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1760510186.352432 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1760510186.352433 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1760510186.352434 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1760510186.352435 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1760510186.352436 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1760510186.352436 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1760510186.352437 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1760510186.352438 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1760510186.352439 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1760510186.352440 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1760510186.352441 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1760510186.352442 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1760510186.352443 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1760510186.352444 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1760510186.352445 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1760510186.352446 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1760510186.352447 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1760510186.352448 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1760510186.352449 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1760510186.352450 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1760510186.352451 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1760510186.352452 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1760510186.352452 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1760510186.352453 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1760510186.352454 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1760510186.352455 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1760510186.352456 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1760510186.352457 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1760510186.352458 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1760510186.352459 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1760510186.352460 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1760510186.352461 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1760510186.352462 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1760510186.352463 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1760510186.352464 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1760510186.352465 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1760510186.352466 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1760510186.352466 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1760510186.352467 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1760510186.352468 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1760510186.352469 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1760510186.352470 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1760510186.352471 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1760510186.352472 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1760510186.352473 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1760510186.352474 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1760510186.352475 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1760510186.352476 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1760510186.352477 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1760510186.352477 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1760510186.352478 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1760510186.352479 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1760510186.352480 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1760510186.352482 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1760510186.352483 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1760510186.352484 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1760510186.352485 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1760510186.352486 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1760510186.352487 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1760510186.352488 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1760510186.352489 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1760510186.352490 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1760510186.352491 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1760510186.352491 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1760510186.352492 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1760510186.352493 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1760510186.352494 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1760510186.352495 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1760510186.352496 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1760510186.352497 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1760510186.352498 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1760510186.352499 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1760510186.352500 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1760510186.352501 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1760510186.352502 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1760510186.352503 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1760510186.352503 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
