1760596594.301432 server started (2384452): version next-3.7, socket /tmp/smux-1000/default, protocol 8
1760596594.301445 on Linux 6.16.7-arch1-1 #1 SMP PREEMPT_DYNAMIC Thu, 11 Sep 2025 17:42:36 +0000
1760596594.301451 using libevent 2.1.12-stable poll
1760596594.301453 using ncurses 6.5 20240427
1760596594.301482 input_key_build: 0x10e003 (PasteStart) is \033[200~
1760596594.301483 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1760596594.301485 input_key_build: 0x10e25b (F1) is \033OP
1760596594.301486 input_key_build: 0x10e25c (F2) is \033OQ
1760596594.301487 input_key_build: 0x10e25d (F3) is \033OR
1760596594.301487 input_key_build: 0x10e25e (F4) is \033OS
1760596594.301488 input_key_build: 0x10e25f (F5) is \033[15~
1760596594.301489 input_key_build: 0x10e260 (F6) is \033[17~
1760596594.301490 input_key_build: 0x10e261 (F7) is \033[18~
1760596594.301491 input_key_build: 0x10e262 (F8) is \033[19~
1760596594.301492 input_key_build: 0x10e263 (F9) is \033[20~
1760596594.301493 input_key_build: 0x10e264 (F10) is \033[21~
1760596594.301494 input_key_build: 0x10e265 (F11) is \033[23~
1760596594.301494 input_key_build: 0x10e266 (F12) is \033[24~
1760596594.301495 input_key_build: 0x10e267 (IC) is \033[2~
1760596594.301496 input_key_build: 0x10e268 (DC) is \033[3~
1760596594.301497 input_key_build: 0x10e269 (Home) is \033[1~
1760596594.301498 input_key_build: 0x10e26a (End) is \033[4~
1760596594.301499 input_key_build: 0x10e26b (NPage) is \033[6~
1760596594.301500 input_key_build: 0x10e26c (PPage) is \033[5~
1760596594.301501 input_key_build: 0x10e26d (BTab) is \033[Z
1760596594.301502 input_key_build: 0x10e26e (Up) is \033[A
1760596594.301502 input_key_build: 0x10e26f (Down) is \033[B
1760596594.301503 input_key_build: 0x10e270 (Left) is \033[D
1760596594.301504 input_key_build: 0x10e271 (Right) is \033[C
1760596594.301505 input_key_build: 0x10e272 (KP/) is /
1760596594.301506 input_key_build: 0x10e273 (KP*) is *
1760596594.301507 input_key_build: 0x10e274 (KP-) is -
1760596594.301508 input_key_build: 0x10e275 (KP7) is 7
1760596594.301509 input_key_build: 0x10e276 (KP8) is 8
1760596594.301510 input_key_build: 0x10e277 (KP9) is 9
1760596594.301510 input_key_build: 0x10e278 (KP+) is +
1760596594.301512 input_key_build: 0x10e279 (KP4) is 4
1760596594.301513 input_key_build: 0x10e27a (KP5) is 5
1760596594.301514 input_key_build: 0x10e27b (KP6) is 6
1760596594.301515 input_key_build: 0x10e27c (KP1) is 1
1760596594.301516 input_key_build: 0x10e27d (KP2) is 2
1760596594.301516 input_key_build: 0x10e27e (KP3) is 3
1760596594.301518 input_key_build: 0x10e27f (KPEnter) is \n
1760596594.301518 input_key_build: 0x10e280 (KP0) is 0
1760596594.301519 input_key_build: 0x10e281 (KP.) is .
1760596594.301521 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1760596594.301523 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1760596594.301524 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1760596594.301525 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1760596594.301526 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1760596594.301527 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1760596594.301527 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1760596594.301528 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1760596594.301529 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1760596594.301530 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1760596594.301531 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1760596594.301532 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1760596594.301533 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1760596594.301534 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1760596594.301534 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1760596594.301535 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1760596594.301536 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1760596594.301537 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
